company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
1073,126,26,0.006418271234475285,0.25791719543147207,2023-01-27,4,56,0.00038556193601312555
1375,183,22,0.2498124531132783,0.03,2023-01-26,1,17,0.010664479081214111
388,148,6,0.018171209469033923,0.08,2023-01-26,1,56,0.0037325676784249386
495,81,10,0.006418271234475285,0.2,2023-01-26,7,56,0.004511894995898278
1035,98,10,0.006418271234475285,1.0,2023-01-26,1,55,0.0012838392124692372
1248,151,22,0.006418271234475285,0.1,2023-01-26,5,56,0.00035274815422477445
1303,148,2,0.006418271234475285,0.25791719543147207,2023-01-26,7,56,0.0018539786710418378
766,126,14,0.32483120780195046,0.02,2023-01-25,1,56,0.0012838392124692372
890,148,14,0.10811036092356421,0.07,2023-01-25,1,56,0.0012838392124692372
1439,148,26,0.02975743935983996,0.25791719543147207,2023-01-25,0,56,0.00041017227235438887
961,98,3,0.027256814203550885,0.35,2023-01-25,0,55,0.0001066447908121411
343,146,24,0.020588480453446696,0.25,2023-01-25,15,56,0.0012838392124692372
699,148,15,0.010585979828290406,0.07,2023-01-25,1,56,0.004511894995898278
1452,159,17,0.010585979828290406,0.15,2023-01-25,7,56,0.00140278917145201
1629,18,30,0.006418271234475285,0.07,2023-01-25,7,17,0.005299425758818704
285,99,26,0.006418271234475285,0.25791719543147207,2023-01-25,4,56,0.00041837571780147664
575,173,10,0.006418271234475285,0.25791719543147207,2023-01-25,15,25,0.0012838392124692372
1097,126,11,0.006418271234475285,0.25791719543147207,2023-01-25,9,56,0.00538966365873667
1172,157,10,0.006418271234475285,0.07,2023-01-25,1,5,0.0012838392124692372
1275,3,22,0.006418271234475285,0.3,2023-01-25,15,34,0.0012838392124692372
1720,139,31,0.10811036092356421,0.17,2023-01-24,1,56,0.006841673502871207
799,148,15,0.020171709594065182,0.15,2023-01-24,8,56,0.003109105824446268
202,148,10,0.003917646078186213,0.1,2023-01-24,8,56,0.010664479081214111
1185,176,27,0.003084104359423189,0.2,2023-01-24,5,7,0.00029532403609516
656,87,23,0.0015003750937734434,0.28,2023-01-24,4,17,0.0003363412633305989
1108,43,15,0.0010836042343919314,0.25791719543147207,2023-01-24,4,56,0.00011484823625922889
1735,176,20,0.0006668333750104192,0.2,2023-01-24,15,7,0.0012838392124692372
363,18,13,0.006418271234475285,0.1,2023-01-24,6,17,0.0027235438884331423
399,24,10,0.006418271234475285,0.14,2023-01-24,6,56,0.0013125512715340443
771,8,1,0.006418271234475285,0.25791719543147207,2023-01-24,5,56,0.0036997538966365875
1175,148,23,0.006418271234475285,0.07,2023-01-24,1,56,0.0014191960623461855
1405,98,13,0.006418271234475285,0.09,2023-01-24,5,55,0.00018867924528301889
1501,169,21,0.04976244061015253,0.06,2023-01-23,1,50,0.017227235438884332
1690,148,18,0.012253063265816454,0.03,2023-01-23,14,56,0.022149302707137
798,17,20,0.003917646078186213,0.25791719543147207,2023-01-23,15,22,0.0026251025430680886
800,126,20,0.003084104359423189,0.1,2023-01-23,1,56,0.0024200164068908943
210,170,26,0.002250562640660165,0.25791719543147207,2023-01-23,4,1,0.00018867924528301889
543,148,28,0.002250562640660165,0.17,2023-01-23,5,56,0.0007957342083675144
1071,173,20,0.0014170209218971408,0.15,2023-01-23,6,56,0.0005660377358490566
268,67,7,0.006418271234475285,0.7,2023-01-23,4,22,0.00013125512715340444
645,126,3,0.006418271234475285,0.1,2023-01-23,15,56,0.00347005742411813
1832,126,20,0.006418271234475285,0.08,2023-01-23,1,56,0.00095980311730927
135,3,10,0.006418271234475285,0.25791719543147207,2023-01-22,6,34,0.0009433962264150945
683,148,2,0.9999999999999999,0.06,2023-01-20,1,56,0.0002132895816242822
1776,24,26,0.1456197382679003,0.1,2023-01-20,1,56,0.013945857260049222
1556,17,12,0.031424522797366,0.06,2023-01-20,15,22,0.029532403609516
999,17,15,0.016420771859631575,0.25791719543147207,2023-01-20,0,22,0.0015750615258408533
1763,184,21,0.010585979828290406,0.07,2023-01-20,9,56,0.0025184577522559476
178,148,16,0.007418521296990914,0.25791719543147207,2023-01-20,0,56,0.0012838392124692372
